date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:07	31358/31358	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:49:26%20GMT	http://www.w3schools.com/bootstrap/bootstrap_glyphicons.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_glyphicons.html	(from http://www.w3schools.com/bootstrap/)
19:36:08	33582/33582	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:07:46%20GMT	http://www.w3schools.com/bootstrap/bootstrap_badges_labels.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_badges_labels.html	(from http://www.w3schools.com/bootstrap/)
19:36:08	39491/39491	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:17:57%20GMT	http://www.w3schools.com/bootstrap/bootstrap_progressbars.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_progressbars.html	(from http://www.w3schools.com/bootstrap/)
19:36:09	35233/35233	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:00:48%20GMT	http://www.w3schools.com/bootstrap/bootstrap_pagination.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_pagination.html	(from http://www.w3schools.com/bootstrap/)
19:36:10	29958/29958	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:46:10%20GMT	http://www.w3schools.com/bootstrap/bootstrap_pager.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_pager.html	(from http://www.w3schools.com/bootstrap/)
19:36:10	37334/37334	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:13:27%20GMT	http://www.w3schools.com/bootstrap/bootstrap_list_groups.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_list_groups.html	(from http://www.w3schools.com/bootstrap/)
19:36:11	34485/34485	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:53:18%20GMT	http://www.w3schools.com/bootstrap/bootstrap_panels.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_panels.html	(from http://www.w3schools.com/bootstrap/)
19:36:12	38384/38384	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2012:51:42%20GMT	http://www.w3schools.com/bootstrap/bootstrap_dropdowns.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_dropdowns.html	(from http://www.w3schools.com/bootstrap/)
19:36:13	40808/40808	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2014:04:01%20GMT	http://www.w3schools.com/bootstrap/bootstrap_collapse.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_collapse.html	(from http://www.w3schools.com/bootstrap/)
19:36:14	46646/46646	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Aug%202016%2013:06:45%20GMT	http://www.w3schools.com/bootstrap/bootstrap_tabs_pills.asp	C:/My%20Web%20Sites/bootstrap/www.w3schools.com/bootstrap/bootstrap_tabs_pills.html	(from http://www.w3schools.com/bootstrap/)
